"","Female_18over_pt","Pop_20_24_18over_pt","Pop_25_44_18over_pt","Pop_45_64_18over_pt","Pop_65_84_18over_pt","Pop_85over_18over_pt","Hispanic_pt","NH_White_pt","NH_Black_pt","EduLHigh_18over_pt","Poverty_18over_pt","Insured_19over_pt","MHI","CHD","CSMOKING","BPHIGH","HIGHCHOL","OBESITY","DIABETES","Latitude","Longitude","Metric_2.5km","Metric_5km","Metric_11.1km"
"8958",51.46142789,5.909599106,31.28893148,34.69094394,24.40504712,0.878453921,14.1218638,79.0083632,4.241338112,9.231752116,5.318639195,91.15913556,96691,6.3,13.4,35.3,36.4,31.9,9.9,30.26423,-95.43274,0,0,0
"8959",50.47807451,10.41872733,43.43883943,28.65150016,11.72106825,3.363006924,17.9464399,73.06764818,4.467572027,8.786679855,8.330534095,87.06459249,68914,5.6,14.1,32.5,32.8,31.7,9,30.28305,-95.48246,0,0,0
"8960",50.19291477,10.6980007,46.58014732,30.86636268,6.068046299,0.736583655,56.51245552,17.65124555,21.11506524,40.58225184,27.35882147,45.53314121,28523,6.9,27.3,36.6,33.2,45.2,14.6,30.29949,-95.46084,0,0,0
"8961",47.06008584,8.111587983,45.64377682,29.20600858,13.13304721,2.339055794,34.63896458,60.13283379,3.269754768,19.93562232,10.37527594,72.50942978,50450,7.5,17.4,35.6,35.2,34.9,11.4,30.32411,-95.46515,0,0,0
"8962",52.0699172,13.83011346,40.63170807,15.85403251,19.533885312,7.298374732,23.58318099,58.44868112,12.50979368,12.08218338,15.00315856,77.01074569,41201,7.9,14.8,36.8,35.6,32.5,11.1,30.31906,-95.48667,0,0,0
"8963",49.41523788,16.07811968,34.3817418,28.61360282,17.156807086,1.396616328,9.751125457,77.93255755,5.495625584,5.041444306,5.041444306,87.22759585,88333,5.7,13.8,33.7,35.2,31.7,9.2,30.35294,-95.52038,0,0,0
"8964",50.67669173,9.593984962,51.33834586,24.42105263,10.195488722,0.872180451,41.57795867,43.20601127,11.04153621,23.15789474,14.44043321,67.37870003,41539,6.5,21.6,32.8,32.3,38.1,11.2,30.36283,-95.47291,0,0,0
"8965",47.10040984,13.89344262,43.17622951,26.25,10.696721311,0.584016393,55.87519026,38.01369863,5.441400304,37.05942623,12.73200142,66.9313124,45920,5.7,22.4,30.8,30.5,40,11,30.34771,-95.42907,0,0,0
"8966",48.48067882,8.152734778,33.03520239,39.81194817,15.29641096,0.321064098,26.28424658,70.77054795,0.556506849,30.93681917,16.04173833,71.03729604,54128,7.5,22.7,36.1,37,36.8,11.9,30.36462,-95.31526,0,0,0
"8967",51.80033651,8.760515984,42.55748738,30.39820527,14.694335389,0.459899047,35.04381464,57.38533196,5.368279782,22.46775098,13.7927094,74.9419145,58695,7.6,23.2,37.5,36.2,39.8,12.9,30.45637,-95.41398,0,0,0
"8968",46.83306495,4.965110038,39.53301127,28.55609232,19.726247986,3.032742888,26.84766214,63.80090498,3.544494721,18.46484165,4.535695115,77.98898072,67375,5.8,18.5,32.8,33.6,34.8,9.8,30.4125,-95.42847,0,0,0
"8969",52.59625574,5.510420346,28.52348993,36.89509007,22.801130341,1.05969622,17.17362046,75.73351279,1.063257066,19.19816319,9.55165692,84.14032523,62692,7.6,19,38.2,38.2,35.4,11.6,30.46784,-95.54078,0,0,0
"8970",54.63175464,4.131024411,28.41644064,38.0554976,23.889004798,2.336741081,8.052509405,88.52957656,1.400784439,4.642186522,5.841852702,86.27095121,61886,7.6,14.7,38.4,38.9,32.9,11.2,30.40212,-95.5405,0,0,0
"8971",50.92216894,3.430468462,24.3913685,38.16857248,30.662117304,1.005164146,7.056848865,85.09085602,6.42924907,2.572851346,6.897823681,96.50683649,87976,7,12,38.2,39.5,31.7,10.6,30.40741,-95.63318,0,0,0
